cluster,latitude,longitude
0,40.522889434347825,-74.4657811847826
1,40.51523613348416,-74.46323012624435
2,40.51447281993356,-74.46615047408638
3,40.521132119277105,-74.46288271686747
4,40.518667683018876,-74.46152739056603
5,40.5208244,-74.4376664
6,40.52364640882353,-74.46511066115197
7,40.4810542,-74.4364755
8,40.51687517087379,-74.46210704271844
9,40.522064006097565,-74.46379908292683
10,40.523527,-74.4495409
11,40.52021795952381,-74.46250465
12,40.517270599999996,-74.45470613333333
13,40.51759906736111,-74.46157406944445
14,40.5148419074074,-74.46508074444445
15,40.52384658039215,-74.46438602810458
16,40.52229443733333,-74.46453318666667
17,40.52192888810409,-74.46328475315985
18,40.51959393432836,-74.46213196567165
19,40.51495384580153,-74.46361808091602
20,40.523439834871795,-74.46536291487179
21,40.51609590222222,-74.46266818555556
22,40.51473550782609,-74.46576747217391
23,40.5227508,-74.44134550000001
24,40.51777563962265,-74.46122828773585
25,40.5241695,-74.446018
26,40.5193156,-74.43392935
27,40.51546956666667,-74.4605181
28,40.52242916455696,-74.4649652050633
29,40.51488431,-74.46452809142856
30,40.51442154295775,-74.46642248380282
31,40.52079006792453,-74.46273521320755
32,40.522576826732674,-74.46544094059406
33,40.5180022,-74.45261414999999
34,40.51567296835443,-74.46296963164558
35,40.5220058495935,-74.46347797682927
36,40.518054549572646,-74.46140438119657
37,40.52318124295775,-74.46556274788733
38,40.51928399866667,-74.46189421733334
39,40.521742706508874,-74.46315228224853
40,40.51650558085107,-74.46237337021277
41,40.52369746666667,-74.46494868817204
42,40.523530991050905,-74.4652735178161
43,40.51729173492063,-74.46180565238096
44,40.5208641,-74.4509041
45,40.51634463333333,-74.45932626666666
46,40.51478838640001,-74.46549446479999
47,40.51458399292453,-74.46603435141509
48,40.52216246865672,-74.46411217910448
49,40.5175055,-74.4572326
50,40.52049014509804,-74.46262882745097
51,40.51492556451613,-74.46391562150538
52,40.52268006633663,-74.46572451980198
53,40.518328190666665,-74.46143823066667
54,40.51894864406779,-74.46166559661017
55,40.5237402974026,-74.46462586038962
56,40.521423780681815,-74.4630445590909
57,40.51989794814814,-74.46233651296296
58,40.51992855,-74.4360233
59,40.5247137,-74.4477247
