id,name,type,calculatedCourse,routeName,created,longitude,latitude,speed,paxLoad,totalCap,outOfService,more,tripId,deviceId,outdated,routeBlockId,timestamp
4855,4131,Transit Bus,140.79447301077835,A Route,01:31 PM,-74.456802100,40.522671800,,17,67,0,102,,402213,0,111528,2024-10-24 13:31:50
4856,4132,Transit Bus,124.2959932516062,EE Route,01:31 PM,-74.447550600,40.499087300,,30,67,0,101,,402215,0,111579,2024-10-24 13:31:50
4859,4177,Transit Bus,19.38979006430162,LX Route,01:31 PM,-74.436397000,40.524196500,,37,67,0,101,,402325,0,111417,2024-10-24 13:31:50
4873,4191,Transit Bus,77.64782970488727,H Route,01:31 PM,-74.446843800,40.499348800,,27,67,0,101,,402329,0,111639,2024-10-24 13:31:50
4876,4194,Transit Bus,283.1401020203899,F Route,01:31 PM,-74.452468800,40.505989500,,27,67,0,101,,402330,0,117891,2024-10-24 13:31:50
17624,4002,Heavy Duty Transit LF,154.39781239107697,REXB Route,01:31 PM,-74.465261000,40.523598300,,22,68,0,101,,402643,0,112511,2024-10-24 13:31:50
4863,4181,Transit Bus,298.67564254939026,LX Route,01:31 PM,-74.438356100,40.521295600,,36,67,0,102,,402645,0,111422,2024-10-24 13:31:50
4853,4129,Transit Bus,69.16012475035791,LX Route,01:31 PM,-74.445946000,40.499634800,,39,67,0,102,,402646,0,111416,2024-10-24 13:31:50
4877,4195,Transit Bus,114.11855213556714,REXL Route,01:31 PM,-74.438370100,40.486048100,,24,67,0,102,,402647,0,111678,2024-10-24 13:31:50
4874,4192,Transit Bus,36.63276790118306,LX Route,01:31 PM,-74.449136600,40.523973100,,59,67,0,102,,402698,0,111418,2024-10-24 13:31:50
4870,4188,Transit Bus,129.6828384420536,A Route,01:31 PM,-74.451888800,40.503109300,,34,67,0,102,,402699,0,111530,2024-10-24 13:31:50
4891,4209,Transit Bus,45.64790526936599,REXL Route,01:31 PM,-74.438560000,40.525234500,,19,67,0,102,,402707,0,111679,2024-10-24 13:31:50
4895,4212,Transit Bus,284.3593365251716,H Route,01:31 PM,-74.449140600,40.504073300,,19,67,0,101,,402708,0,111640,2024-10-24 13:31:50
4893,4211,Transit Bus,223.95520798635778,REXL Route,01:31 PM,-74.452477800,40.518651100,,27,67,0,102,,402720,0,111676,2024-10-24 13:31:50
4881,4199,Transit Bus,84.88422727119894,A Route,01:31 PM,-74.463733100,40.514921600,,35,67,0,102,,402723,0,111529,2024-10-24 13:31:50
4886,4204,Transit Bus,35.09581678646873,B Route,01:31 PM,-74.461005300,40.524989100,,34,67,0,102,,402727,0,113248,2024-10-24 13:31:50
4885,4203,Transit Bus,43.9913756904549,B Route,01:31 PM,-74.439319100,40.524457500,,20,67,0,101,,402729,0,113245,2024-10-24 13:31:50
4882,4200,Transit Bus,175.1326849419961,EE Route,01:31 PM,-74.441290500,40.498382300,,19,67,0,101,,402733,0,111581,2024-10-24 13:31:50
4872,4190,Transit Bus,346.7030640602748,B Route,01:31 PM,-74.465521000,40.523197800,,46,67,0,102,,402741,0,113278,2024-10-24 13:31:50
7181,0205,Transit Bus,301.70310587748355,F Route,01:31 PM,-74.443419100,40.501476600,,65,75,0,102,,405378,0,117893,2024-10-24 13:31:50
7179,0201,Transit Bus,255.48138998143736,F Route,01:31 PM,-74.439813600,40.487367300,,30,67,0,101,,405380,0,117892,2024-10-24 13:31:50
4851,4128,Transit Bus,2.6025620430129948,EE Route,01:31 PM,-74.428994100,40.480728100,,22,67,0,101,,405382,0,111602,2024-10-24 13:31:50
